DBN,Cohort,Total Enrolled,Total Present,Average Attendance
02M040,2008,97760.0,92736.0,0.9486088379705401
02M041,2006,137533.0,130613.0,0.9496848029200264
02M041,2007,136689.0,130371.0,0.9537782850119615
02M041,2008,138897.0,132777.0,0.9559385731873259
02M042,2006,132413.0,128925.0,0.9736581755567807
02M042,2007,135558.0,132030.0,0.9739742398087904
02M042,2008,136335.0,132167.0,0.9694282465984524
02M047,2006,38170.0,31235.0,0.8183128111082002
02M047,2007,38064.0,32309.0,0.8488072719630096
02M047,2008,33169.0,27810.0,0.8384334770418161
02M051,2006,60476.0,55898.0,0.924300548978107
02M051,2007,60949.0,57159.0,0.937816863279135
02M051,2008,57779.0,54078.0,0.9359455857664549
02M059,2006,79784.0,74525.0,0.9340845282262108
02M059,2007,84167.0,79797.0,0.9480794135468771
02M059,2008,80235.0,76587.0,0.9545335576743317
02M077,2006,65316.0,62207.0,0.9524006369036683
02M077,2007,65361.0,62563.0,0.9571915974357798
02M077,2008,62061.0,59229.0,0.9543674771595688
02M089,2006,95604.0,89468.0,0.9358185849964437
02M089,2007,94101.0,89014.0,0.9459410633255757
02M089,2008,97789.0,92430.0,0.9451983351910747
02M104,2006,195636.0,185412.0,0.9477396798135312
02M104,2007,191787.0,181852.0,0.9481977402013693
02M104,2008,178093.0,167692.0,0.9415979291718372
02M111,2006,103850.0,93917.0,0.90435243139143
02M111,2007,104698.0,95838.0,0.9153756518749164
02M111,2008,102521.0,94045.0,0.9173242555183816
02M114,2006,66108.0,63728.0,0.963998305802626
02M114,2007,67418.0,64953.0,0.9634370642855024
02M114,2008,69017.0,66514.0,0.9637335728878392
02M116,2006,134944.0,128555.0,0.9526544344320607
02M116,2007,145031.0,137734.0,0.9496866187228937
02M116,2008,141451.0,134504.0,0.9508875865140579
02M124,2006,188483.0,183573.0,0.9739499052964989
02M124,2007,185629.0,180266.0,0.9711090400745573
02M124,2008,179373.0,173524.0,0.9673919709209301
02M126,2006,130731.0,123525.0,0.9448791793836198
02M126,2007,133665.0,127093.0,0.9508323046422025
02M126,2008,139858.0,132155.0,0.944922707317422
02M130,2006,203015.0,198172.0,0.9761446198556757
02M130,2007,199408.0,194365.0,0.9747101420203803
02M130,2008,192960.0,187410.0,0.9712375621890548
02M131,2006,164503.0,159362.0,0.9687482903047361
02M131,2007,154456.0,149194.0,0.9659320453721448
02M131,2008,142033.0,136594.0,0.9617060823893039
02M150,2006,33167.0,31602.0,0.9528145445774414
02M150,2007,33372.0,31613.0,0.947291142274961
02M150,2008,33691.0,32003.0,0.9498975987652489
02M158,2006,132984.0,124163.0,0.9336687120255068
02M158,2007,134803.0,126347.0,0.9372714257101104
02M158,2008,145780.0,137289.0,0.9417546988612978
02M167,2006,241931.0,231906.0,0.9585625653595446
02M167,2007,232520.0,219358.0,0.9433941166351282
02M167,2008,227761.0,215748.0,0.9472561149626143
02M183,2006,110448.0,104454.0,0.9457301173402868
02M183,2007,106578.0,101452.0,0.9519037700088199
02M183,2008,106632.0,100455.0,0.9420717983344588
02M198,2006,97173.0,89433.0,0.9203482448828378
02M198,2007,101935.0,94892.0,0.9309069505076765
02M198,2008,100772.0,92827.0,0.921158655181995
02M212,2006,64771.0,60752.0,0.9379506260517825
02M212,2007,63843.0,60267.0,0.9439875945679245
02M212,2008,61916.0,58221.0,0.9403223722462691
02M217,2006,86695.0,80765.0,0.931599284849184
02M217,2007,83184.0,77129.0,0.927209559530679
02M217,2008,79471.0,73912.0,0.9300499553296171
02M225,2006,49969.0,45363.0,0.9078228501671036
02M225,2007,52052.0,47295.0,0.9086106201490817
02M225,2008,53083.0,47918.0,0.9026995459940094
02M234,2006,129697.0,123386.0,0.9513404319298057
02M234,2007,139115.0,132385.0,0.9516227581497322
02M234,2008,147920.0,140957.0,0.9529272579772851
02M255,2006,67028.0,64434.0,0.9612997553261323
02M255,2007,70915.0,68763.0,0.9696538109003737
02M255,2008,74089.0,71211.0,0.9611548273022986
02M260,2006,45509.0,43188.0,0.948999099079303
02M260,2007,45250.0,43159.0,0.9537900552486188
02M260,2008,49091.0,46772.0,0.952761198590373
02M288,2006,51891.0,45049.0,0.8681466921046039
02M288,2007,67955.0,60814.0,0.8949157530718858
02M288,2008,72236.0,63325.0,0.8766404562821861
02M289,2006,54245.0,52300.0,0.964144160752143
02M289,2007,54334.0,52460.0,0.9655096256487651
02M289,2008,53958.0,51889.0,0.9616553615775233
02M290,2006,124489.0,118709.0,0.9535701949569841
02M290,2007,121516.0,116288.0,0.9569768590144507
02M290,2008,116375.0,111529.0,0.9583587540279269
02M294,2006,47990.0,40755.0,0.8492394248801833
02M294,2007,58898.0,48356.0,0.8210125980508676
02M294,2008,59765.0,47349.0,0.7922529908809504
02M296,2006,50545.0,40408.0,0.7994460381837967
02M296,2007,62415.0,49908.0,0.7996154770487863
02M296,2008,63210.0,51899.0,0.8210567948109476
02M298,2006,52996.0,48817.0,0.9211449920748735
02M298,2007,71238.0,65496.0,0.9193969510654426
02M298,2008,68853.0,63005.0,0.9150654292478179
02M300,2006,50868.0,43798.0,0.8610128174884013
02M300,2007,65808.0,55346.0,0.8410223681011427
02M300,2008,62753.0,54319.0,0.865600050993578
02M303,2006,37422.0,30156.0,0.8058361391694725
02M303,2007,53557.0,43598.0,0.8140485837518905
02M303,2008,68933.0,56442.0,0.8187950618716725
02M305,2006,28825.0,25058.0,0.8693148308759757
02M305,2007,41224.0,33378.0,0.8096739763244711
02M305,2008,46826.0,38704.0,0.8265493529235894
02M308,2006,27656.0,24178.0,0.8742406711021117
02M308,2007,42397.0,35684.0,0.8416633252352761
02M308,2008,49610.0,40208.0,0.8104817577101391
02M312,2006,109427.0,106492.0,0.973178466009303
02M312,2007,107223.0,104357.0,0.9732706602128275
02M312,2008,102419.0,99459.0,0.9710991124693661
02M313,2006,21120.0,16939.0,0.8020359848484848
02M313,2007,34642.0,27052.0,0.7809017955083425
02M313,2008,40196.0,31022.0,0.7717683351577271
02M316,2006,33884.0,29233.0,0.8627375752567583
02M316,2007,49507.0,41084.0,0.8298624436948311
02M316,2008,55321.0,45364.0,0.8200140995282081
02M347,2006,34056.0,30626.0,0.8992835330044633
02M347,2007,37006.0,32984.0,0.891314921904556
02M347,2008,36398.0,32257.0,0.886230012638057
02M374,2008,62140.0,50508.0,0.8128097843579015
02M376,2008,17968.0,17113.0,0.9524154051647373
02M400,2006,241741.0,213639.0,0.8837516184676989
02M400,2007,246458.0,218890.0,0.8881432130423845
02M400,2008,247055.0,220919.0,0.8942097913420088
02M407,2006,74567.0,65985.0,0.8849088738986415
02M407,2007,72495.0,64358.0,0.8877577763983723
02M407,2008,79522.0,70848.0,0.8909232665174417
02M408,2006,72648.0,63290.0,0.8711870939323862
02M408,2007,78396.0,69394.0,0.885172712893515
02M408,2008,79546.0,70209.0,0.8826213763105625
02M409,2006,68835.0,55362.0,0.8042710830246241
02M409,2007,70898.0,56833.0,0.8016164066687353
02M409,2008,70781.0,56957.0,0.8046933499102866
02M411,2006,68766.0,66590.0,0.9683564552249658
02M411,2007,70897.0,68963.0,0.9727209896046377
